post_id,title,url,score,by,time,num_comments,category,score_category,engagement
47647455,Talk like caveman,https://github.com/JuliusBrussee/caveman,79,tosh,1775379378,55,technology,medium,134
47646843,Lisette a little language inspired by Rust that compiles to Go,https://lisette.run/,88,jspdown,1775372239,41,technology,medium,129
47640728,Show HN: A game where you build a GPU,https://jaso1024.com/mvidia/,778,Jaso1024,1775321154,160,technology,high,938
47644406,German implementation of eIDAS will require an Apple/Google account to function,https://bmi.usercontent.opencode.de/eudi-wallet/wallet-development-documentation-public/latest/architecture-concept/06-mobile-devices/02-mdvm/,314,DyslexicAtheist,1775343464,283,technology,high,597
47595695,OpenScreen is an open-source alternative to Screen Studio,https://github.com/siddharthvaddem/openscreen,315,jskopek,1775007106,55,technology,high,370
47645432,Introduction to Computer Music (2009) [pdf],https://composerprogrammer.com/introductiontocomputermusic.pdf,166,luu,1775354069,53,technology,high,219
47607408,Scientists Figured Out How Eels Reproduce (2022),https://www.intelligentliving.co/scientists-finally-figured-out-how-eels-reproduce/,36,thunderbong,1775082834,0,technology,low,36
47640875,"LLM Wiki – example of an ""idea file""",https://gist.github.com/karpathy/442a6bf555914893e9891c11519de94f,212,tamnd,1775321865,66,technology,high,278
47646472,Aegis – open-source FPGA silicon,https://github.com/MidstallSoftware/aegis,39,rosscomputerguy,1775368204,4,technology,low,43
47598835,Rubysyn: Clarifying Ruby's Syntax and Semantics,https://github.com/squadette/rubysyn/blob/master/README.md,53,petalmind,1775037258,5,technology,medium,58
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",https://zml.ai/posts/zml-smi/,49,steeve,1774963793,7,technology,low,56
47642569,How many products does Microsoft have named 'Copilot'?,https://teybannerman.com/strategy/2026/03/31/how-many-microsoft-copilot-are-there.html,662,gpi,1775331583,317,technology,high,979
47613118,Show HN: I built a small app for FSI German Course,https://detawk.com/,38,syedmsawaid,1775130241,13,technology,low,51
47646504,Show HN: OsintRadar – Curated directory for osint tools,https://osintradar.com/,13,lexalizer,1775368702,1,technology,low,14
47644864,"AWS engineer reports PostgreSQL perf halved by Linux 7.0, fix may not be easy",https://www.phoronix.com/news/Linux-7.0-AWS-PostgreSQL-Drop,311,crcastle,1775348035,93,technology,high,404
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",https://contrapunk.com/,75,waveywaves,1775349618,31,technology,medium,106
47639303,"Show HN: I made open source, zero power PCB hackathon badges",https://github.com/KaiPereira/Overglade-Badges,114,kaipereira,1775312421,11,technology,medium,125
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",https://sllm.cloud,164,jrandolf,1775315938,79,technology,high,243
